,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,accuracy,macro avg,weighted avg
precision,0.5855855855855856,0.6309523809523809,0.43356643356643354,0.5390625,0.6419753086419753,0.4496124031007752,0.580952380952381,0.17647058823529413,0.2366412213740458,0.34513274336283184,0.36036036036036034,0.24855491329479767,0.21978021978021978,0.5975609756097561,0.30275229357798167,0.3150684931506849,0.3076923076923077,0.2676056338028169,0.5423728813559322,0.8431372549019608,0.2619047619047619,0.25396825396825395,0.4453125,0.43870967741935485,0.22580645161290322,0.6271186440677966,0.4230769230769231,0.4854368932038835,0.45901639344262296,0.4772727272727273,0.14673913043478262,0.6727272727272727,0.6853932584269663,0.6292134831460674,0.7211538461538461,0.8571428571428571,0.8446601941747572,0.975609756097561,0.6071428571428571,0.5476190476190477,0.7833333333333333,0.7777777777777778,0.512396694214876,0.88,0.825,0.6704545454545454,0.4743478260869565,0.5186700904155283,0.5186700904155281
recall,0.65,0.53,0.62,0.69,0.52,0.58,0.61,0.21,0.31,0.39,0.4,0.43,0.4,0.49,0.33,0.23,0.28,0.19,0.32,0.43,0.22,0.32,0.57,0.68,0.14,0.37,0.66,0.5,0.56,0.21,0.27,0.37,0.61,0.56,0.75,0.54,0.87,0.4,0.68,0.46,0.47,0.91,0.62,0.22,0.66,0.59,0.4743478260869565,0.4743478260869565,0.4743478260869565
f1-score,0.6161137440758293,0.5760869565217391,0.5102880658436215,0.6052631578947368,0.574585635359116,0.5065502183406113,0.5951219512195122,0.19178082191780824,0.2683982683982684,0.3661971830985915,0.3791469194312796,0.315018315018315,0.28368794326241137,0.5384615384615385,0.31578947368421056,0.26589595375722547,0.29319371727748694,0.2222222222222222,0.40251572327044033,0.5695364238410596,0.2391304347826087,0.2831858407079646,0.5,0.5333333333333334,0.1728395061728395,0.46540880503144655,0.515625,0.49261083743842365,0.5045045045045045,0.2916666666666667,0.19014084507042256,0.4774193548387097,0.6455026455026455,0.5925925925925927,0.7352941176470588,0.6625766871165644,0.8571428571428571,0.5673758865248227,0.6415094339622641,0.5000000000000001,0.5874999999999999,0.8387096774193549,0.5610859728506787,0.352,0.7333333333333334,0.6276595744680851,0.4743478260869565,0.477478307391374,0.47747830739137387
support,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.4743478260869565,4600.0,4600.0
